"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|ES","Actual Total Load [MW] - BZN|ES"
"22.09.2020 09:00 - 22.09.2020 10:00","29615","29723"
"22.09.2020 10:00 - 22.09.2020 11:00","30346","30484"
"22.09.2020 11:00 - 22.09.2020 12:00","30922","30991"
"22.09.2020 12:00 - 22.09.2020 13:00","31492","31628"
"22.09.2020 13:00 - 22.09.2020 14:00","31728","32143"
"22.09.2020 14:00 - 22.09.2020 15:00","30798","31318"
"22.09.2020 15:00 - 22.09.2020 16:00","29966","30493"
"22.09.2020 16:00 - 22.09.2020 17:00","29779","30162"
"22.09.2020 17:00 - 22.09.2020 18:00","29861","30182"
"22.09.2020 18:00 - 22.09.2020 19:00","29489","29804"
"22.09.2020 19:00 - 22.09.2020 20:00","29361","29576"
"22.09.2020 20:00 - 22.09.2020 21:00","31068","31513"
"22.09.2020 21:00 - 22.09.2020 22:00","31123","31242"
"22.09.2020 22:00 - 22.09.2020 23:00","28079","28279"
"22.09.2020 23:00 - 23.09.2020 00:00","25926","25872"
"23.09.2020 00:00 - 23.09.2020 01:00","24733","24707"
"23.09.2020 01:00 - 23.09.2020 02:00","23581","23619"
"23.09.2020 02:00 - 23.09.2020 03:00","22766","22842"
"23.09.2020 03:00 - 23.09.2020 04:00","22414","22502"
"23.09.2020 04:00 - 23.09.2020 05:00","22323","22415"
"23.09.2020 05:00 - 23.09.2020 06:00","22743","22847"
"23.09.2020 06:00 - 23.09.2020 07:00","24798","24974"
"23.09.2020 07:00 - 23.09.2020 08:00","27714","27916"
"23.09.2020 08:00 - 23.09.2020 09:00","28919","29058"
"23.09.2020 09:00 - 23.09.2020 10:00","29946","30071"
"23.09.2020 10:00 - 23.09.2020 11:00","30733","30842"
"23.09.2020 11:00 - 23.09.2020 12:00","31329","31371"
"23.09.2020 12:00 - 23.09.2020 13:00","32053","31920"
"23.09.2020 13:00 - 23.09.2020 14:00","32310","32220"
"23.09.2020 14:00 - 23.09.2020 15:00","31418","31177"
"23.09.2020 15:00 - 23.09.2020 16:00","30628","30458"
"23.09.2020 16:00 - 23.09.2020 17:00","30403","30035"
"23.09.2020 17:00 - 23.09.2020 18:00","30408","30094"
"23.09.2020 18:00 - 23.09.2020 19:00","30026","29814"
"23.09.2020 19:00 - 23.09.2020 20:00","29892","29862"
"23.09.2020 20:00 - 23.09.2020 21:00","31562","31804"
"23.09.2020 21:00 - 23.09.2020 22:00","31427","31420"
"23.09.2020 22:00 - 23.09.2020 23:00","28256","28427"
"23.09.2020 23:00 - 24.09.2020 00:00","26033","26115"
"24.09.2020 00:00 - 24.09.2020 01:00","24801","25129"
"24.09.2020 01:00 - 24.09.2020 02:00","23611","23942"
"24.09.2020 02:00 - 24.09.2020 03:00","22814","23220"
"24.09.2020 03:00 - 24.09.2020 04:00","22443","22883"
"24.09.2020 04:00 - 24.09.2020 05:00","22323","22695"
"24.09.2020 05:00 - 24.09.2020 06:00","22674","23049"
"24.09.2020 06:00 - 24.09.2020 07:00","24552","24818"
"24.09.2020 07:00 - 24.09.2020 08:00","27184","27784"
"24.09.2020 08:00 - 24.09.2020 09:00","28177","28897"
"24.09.2020 09:00 - 24.09.2020 10:00","29265","29954"
"24.09.2020 10:00 - 24.09.2020 11:00","30027","30859"
"24.09.2020 11:00 - 24.09.2020 12:00","30503","31312"
"24.09.2020 12:00 - 24.09.2020 13:00","31107","31809"
"24.09.2020 13:00 - 24.09.2020 14:00","31354","32127"
"24.09.2020 14:00 - 24.09.2020 15:00","30432","31182"
"24.09.2020 15:00 - 24.09.2020 16:00","29561","30178"
"24.09.2020 16:00 - 24.09.2020 17:00","29277","29931"
"24.09.2020 17:00 - 24.09.2020 18:00","29281","29938"
"24.09.2020 18:00 - 24.09.2020 19:00","28894","29571"
"24.09.2020 19:00 - 24.09.2020 20:00","28919","29530"
"24.09.2020 20:00 - 24.09.2020 21:00","30983","31564"
"24.09.2020 21:00 - 24.09.2020 22:00","30850","31392"
"24.09.2020 22:00 - 24.09.2020 23:00","27933","28368"
"24.09.2020 23:00 - 25.09.2020 00:00","25662","26040"
"25.09.2020 00:00 - 25.09.2020 01:00","24724","24846"
"25.09.2020 01:00 - 25.09.2020 02:00","23566","23751"
"25.09.2020 02:00 - 25.09.2020 03:00","22797","22987"
"25.09.2020 03:00 - 25.09.2020 04:00","22460","22543"
"25.09.2020 04:00 - 25.09.2020 05:00","22316","22421"
"25.09.2020 05:00 - 25.09.2020 06:00","22731","22702"
"25.09.2020 06:00 - 25.09.2020 07:00","24687","24568"
"25.09.2020 07:00 - 25.09.2020 08:00","27553","27281"
"25.09.2020 08:00 - 25.09.2020 09:00","28562","28362"
"25.09.2020 09:00 - 25.09.2020 10:00","29500","29337"
"25.09.2020 10:00 - 25.09.2020 11:00","30212","29932"
"25.09.2020 11:00 - 25.09.2020 12:00","30615","30180"
"25.09.2020 12:00 - 25.09.2020 13:00","31006","30856"
"25.09.2020 13:00 - 25.09.2020 14:00","31027","30932"
"25.09.2020 14:00 - 25.09.2020 15:00","29920","29837"
"25.09.2020 15:00 - 25.09.2020 16:00","28854","28886"
"25.09.2020 16:00 - 25.09.2020 17:00","28539","28495"
"25.09.2020 17:00 - 25.09.2020 18:00","28533","28318"
"25.09.2020 18:00 - 25.09.2020 19:00","28260","28009"
"25.09.2020 19:00 - 25.09.2020 20:00","28290","27936"
"25.09.2020 20:00 - 25.09.2020 21:00","30078","29820"
"25.09.2020 21:00 - 25.09.2020 22:00","29844","29761"
"25.09.2020 22:00 - 25.09.2020 23:00","27104","27061"
"25.09.2020 23:00 - 26.09.2020 00:00","25055","25077"
"26.09.2020 00:00 - 26.09.2020 01:00","24032","23829"
"26.09.2020 01:00 - 26.09.2020 02:00","22802","22593"
"26.09.2020 02:00 - 26.09.2020 03:00","21899","21662"
"26.09.2020 03:00 - 26.09.2020 04:00","21364","21138"
"26.09.2020 04:00 - 26.09.2020 05:00","21071","20907"
"26.09.2020 05:00 - 26.09.2020 06:00","20866","20802"
"26.09.2020 06:00 - 26.09.2020 07:00","21280","20960"
"26.09.2020 07:00 - 26.09.2020 08:00","22089","21818"
"26.09.2020 08:00 - 26.09.2020 09:00","22765","22584"
"26.09.2020 09:00 - 26.09.2020 10:00","24468","24486"
"26.09.2020 10:00 - 26.09.2020 11:00","25907","25858"
"26.09.2020 11:00 - 26.09.2020 12:00","26426","26399"
"26.09.2020 12:00 - 26.09.2020 13:00","26720","26831"
"26.09.2020 13:00 - 26.09.2020 14:00","26954","27157"
"26.09.2020 14:00 - 26.09.2020 15:00","26270","26477"
"26.09.2020 15:00 - 26.09.2020 16:00","24942","25078"
"26.09.2020 16:00 - 26.09.2020 17:00","24307","24409"
"26.09.2020 17:00 - 26.09.2020 18:00","24071","24020"
"26.09.2020 18:00 - 26.09.2020 19:00","24005","23962"
"26.09.2020 19:00 - 26.09.2020 20:00","24162","24316"
"26.09.2020 20:00 - 26.09.2020 21:00","26124","26476"
"26.09.2020 21:00 - 26.09.2020 22:00","26847","27052"
"26.09.2020 22:00 - 26.09.2020 23:00","24987","24967"
"26.09.2020 23:00 - 27.09.2020 00:00","23329","23230"
"27.09.2020 00:00 - 27.09.2020 01:00","22146","21916"
"27.09.2020 01:00 - 27.09.2020 02:00","20859","20626"
"27.09.2020 02:00 - 27.09.2020 03:00","19973","19748"
"27.09.2020 03:00 - 27.09.2020 04:00","19453","19284"
"27.09.2020 04:00 - 27.09.2020 05:00","19196","19009"
"27.09.2020 05:00 - 27.09.2020 06:00","19151","18746"
"27.09.2020 06:00 - 27.09.2020 07:00","19390","19077"
"27.09.2020 07:00 - 27.09.2020 08:00","19766","19655"
"27.09.2020 08:00 - 27.09.2020 09:00","19970","19609"
"27.09.2020 09:00 - 27.09.2020 10:00","21456","21332"
"27.09.2020 10:00 - 27.09.2020 11:00","22844","23004"
"27.09.2020 11:00 - 27.09.2020 12:00","23672","23957"
"27.09.2020 12:00 - 27.09.2020 13:00","24172","24587"
"27.09.2020 13:00 - 27.09.2020 14:00","24717","25165"
"27.09.2020 14:00 - 27.09.2020 15:00","24473","24913"
"27.09.2020 15:00 - 27.09.2020 16:00","23219","23433"
"27.09.2020 16:00 - 27.09.2020 17:00","22555","22693"
"27.09.2020 17:00 - 27.09.2020 18:00","22281","22339"
"27.09.2020 18:00 - 27.09.2020 19:00","22331","22444"
"27.09.2020 19:00 - 27.09.2020 20:00","22799","22908"
"27.09.2020 20:00 - 27.09.2020 21:00","25366","25488"
"27.09.2020 21:00 - 27.09.2020 22:00","26397","26143"
"27.09.2020 22:00 - 27.09.2020 23:00","25042","24584"
"27.09.2020 23:00 - 28.09.2020 00:00","23383","23129"
"28.09.2020 00:00 - 28.09.2020 01:00","21651","21892"
"28.09.2020 01:00 - 28.09.2020 02:00","20589","20897"
"28.09.2020 02:00 - 28.09.2020 03:00","19939","20136"
"28.09.2020 03:00 - 28.09.2020 04:00","19637","19959"
"28.09.2020 04:00 - 28.09.2020 05:00","19714","19871"
"28.09.2020 05:00 - 28.09.2020 06:00","20311","20520"
"28.09.2020 06:00 - 28.09.2020 07:00","22679","22871"
"28.09.2020 07:00 - 28.09.2020 08:00","25987","26210"
"28.09.2020 08:00 - 28.09.2020 09:00","27323","27589"
"28.09.2020 09:00 - 28.09.2020 10:00","28382","28643"
"28.09.2020 10:00 - 28.09.2020 11:00","29178","29346"
"28.09.2020 11:00 - 28.09.2020 12:00","29795","29933"
"28.09.2020 12:00 - 28.09.2020 13:00","30307","30340"
"28.09.2020 13:00 - 28.09.2020 14:00","30629","30561"
"28.09.2020 14:00 - 28.09.2020 15:00","29725","29637"
"28.09.2020 15:00 - 28.09.2020 16:00","28833","28850"
"28.09.2020 16:00 - 28.09.2020 17:00","28621","28623"
"28.09.2020 17:00 - 28.09.2020 18:00","28530","28540"
"28.09.2020 18:00 - 28.09.2020 19:00","28207","28117"
"28.09.2020 19:00 - 28.09.2020 20:00","28181","28407"
"28.09.2020 20:00 - 28.09.2020 21:00","30371","30802"
"28.09.2020 21:00 - 28.09.2020 22:00","30259","30310"
"28.09.2020 22:00 - 28.09.2020 23:00","27080","27257"
"28.09.2020 23:00 - 29.09.2020 00:00","24866","24974"
"29.09.2020 00:00 - 29.09.2020 01:00","23802","23789"
"29.09.2020 01:00 - 29.09.2020 02:00","22763","22718"
"29.09.2020 02:00 - 29.09.2020 03:00","21973","22069"
"29.09.2020 03:00 - 29.09.2020 04:00","21729","21686"
"29.09.2020 04:00 - 29.09.2020 05:00","21624","21622"
"29.09.2020 05:00 - 29.09.2020 06:00","22053","22171"
"29.09.2020 06:00 - 29.09.2020 07:00","24031","24344"
"29.09.2020 07:00 - 29.09.2020 08:00","27105","27412"
"29.09.2020 08:00 - 29.09.2020 09:00","28287","28468"
"29.09.2020 09:00 - 29.09.2020 10:00","29238","29347"
"29.09.2020 10:00 - 29.09.2020 11:00","29870","29951"
"29.09.2020 11:00 - 29.09.2020 12:00","30368","30491"
"29.09.2020 12:00 - 29.09.2020 13:00","30908","31000"
"29.09.2020 13:00 - 29.09.2020 14:00","31178","31257"
"29.09.2020 14:00 - 29.09.2020 15:00","30184","30456"
"29.09.2020 15:00 - 29.09.2020 16:00","29380","29548"
"29.09.2020 16:00 - 29.09.2020 17:00","29190","29236"
"29.09.2020 17:00 - 29.09.2020 18:00","29056","29168"
"29.09.2020 18:00 - 29.09.2020 19:00","28793","28654"
"29.09.2020 19:00 - 29.09.2020 20:00","28854","28852"
"29.09.2020 20:00 - 29.09.2020 21:00","31269","31062"
"29.09.2020 21:00 - 29.09.2020 22:00","30751","30688"
"29.09.2020 22:00 - 29.09.2020 23:00","27687","27879"
"29.09.2020 23:00 - 30.09.2020 00:00","25494","25548"
"30.09.2020 00:00 - 30.09.2020 01:00","24271","24466"
"30.09.2020 01:00 - 30.09.2020 02:00","23138","23280"
"30.09.2020 02:00 - 30.09.2020 03:00","22358","22571"
"30.09.2020 03:00 - 30.09.2020 04:00","22079","22134"
"30.09.2020 04:00 - 30.09.2020 05:00","21949","22057"
"30.09.2020 05:00 - 30.09.2020 06:00","22379","22560"
"30.09.2020 06:00 - 30.09.2020 07:00","24461","24674"
"30.09.2020 07:00 - 30.09.2020 08:00","27621","27685"
"30.09.2020 08:00 - 30.09.2020 09:00","28601","28740"
"30.09.2020 09:00 - 30.09.2020 10:00","29482","29562"
"30.09.2020 10:00 - 30.09.2020 11:00","30141","29969"
"30.09.2020 11:00 - 30.09.2020 12:00","30644","30324"
"30.09.2020 12:00 - 30.09.2020 13:00","31249","30897"
"30.09.2020 13:00 - 30.09.2020 14:00","31408","30961"
"30.09.2020 14:00 - 30.09.2020 15:00","30520","30107"
"30.09.2020 15:00 - 30.09.2020 16:00","29735","29337"
"30.09.2020 16:00 - 30.09.2020 17:00","29490","29115"
"30.09.2020 17:00 - 30.09.2020 18:00","29439","29012"
"30.09.2020 18:00 - 30.09.2020 19:00","29112","28772"
"30.09.2020 19:00 - 30.09.2020 20:00","29202","29096"
"30.09.2020 20:00 - 30.09.2020 21:00","31410","31492"
"30.09.2020 21:00 - 30.09.2020 22:00","30874","30860"
"30.09.2020 22:00 - 30.09.2020 23:00","27856","27994"
"30.09.2020 23:00 - 01.10.2020 00:00","25646","25706"
"01.10.2020 00:00 - 01.10.2020 01:00","24524","24926"
"01.10.2020 01:00 - 01.10.2020 02:00","23357","23590"
"01.10.2020 02:00 - 01.10.2020 03:00","22614","22712"
"01.10.2020 03:00 - 01.10.2020 04:00","22217","22470"
"01.10.2020 04:00 - 01.10.2020 05:00","22115","22401"
"01.10.2020 05:00 - 01.10.2020 06:00","22556","22790"
"01.10.2020 06:00 - 01.10.2020 07:00","24618","24811"
"01.10.2020 07:00 - 01.10.2020 08:00","27711","27968"
"01.10.2020 08:00 - 01.10.2020 09:00","28816","28986"
"01.10.2020 09:00 - 01.10.2020 10:00","29702","29804"
"01.10.2020 10:00 - 01.10.2020 11:00","30246","30181"
"01.10.2020 11:00 - 01.10.2020 12:00","30671","30657"
"01.10.2020 12:00 - 01.10.2020 13:00","31177","31217"
"01.10.2020 13:00 - 01.10.2020 14:00","31372","31316"
"01.10.2020 14:00 - 01.10.2020 15:00","30469","30296"
"01.10.2020 15:00 - 01.10.2020 16:00","29582","29611"
"01.10.2020 16:00 - 01.10.2020 17:00","29416","29361"
"01.10.2020 17:00 - 01.10.2020 18:00","29335","29333"
"01.10.2020 18:00 - 01.10.2020 19:00","29081","29035"
"01.10.2020 19:00 - 01.10.2020 20:00","29446","29556"
"01.10.2020 20:00 - 01.10.2020 21:00","31624","31604"
"01.10.2020 21:00 - 01.10.2020 22:00","30956","30931"
"01.10.2020 22:00 - 01.10.2020 23:00","27875","28023"
"01.10.2020 23:00 - 02.10.2020 00:00","25652","25760"
"02.10.2020 00:00 - 02.10.2020 01:00","24614","24756"
"02.10.2020 01:00 - 02.10.2020 02:00","23545","23652"
"02.10.2020 02:00 - 02.10.2020 03:00","22690","22873"
"02.10.2020 03:00 - 02.10.2020 04:00","22263","22464"
"02.10.2020 04:00 - 02.10.2020 05:00","22198","22316"
"02.10.2020 05:00 - 02.10.2020 06:00","22623","22651"
"02.10.2020 06:00 - 02.10.2020 07:00","24585","24839"
"02.10.2020 07:00 - 02.10.2020 08:00","27694","27835"
"02.10.2020 08:00 - 02.10.2020 09:00","28735","29128"
"02.10.2020 09:00 - 02.10.2020 10:00","29548","30231"
"02.10.2020 10:00 - 02.10.2020 11:00","29986","30934"
"02.10.2020 11:00 - 02.10.2020 12:00","30184","31383"
"02.10.2020 12:00 - 02.10.2020 13:00","30653","31931"
"02.10.2020 13:00 - 02.10.2020 14:00","30735","31800"
"02.10.2020 14:00 - 02.10.2020 15:00","29653","30619"
"02.10.2020 15:00 - 02.10.2020 16:00","28655","29203"
"02.10.2020 16:00 - 02.10.2020 17:00","28389","28539"
"02.10.2020 17:00 - 02.10.2020 18:00","28186","28101"
"02.10.2020 18:00 - 02.10.2020 19:00","28022","27988"
"02.10.2020 19:00 - 02.10.2020 20:00","28334","28380"
"02.10.2020 20:00 - 02.10.2020 21:00","30475","30190"
"02.10.2020 21:00 - 02.10.2020 22:00","29758","29852"
"02.10.2020 22:00 - 02.10.2020 23:00","26919","27156"
"02.10.2020 23:00 - 03.10.2020 00:00","24943","25061"
"03.10.2020 00:00 - 03.10.2020 01:00","24245","23735"
"03.10.2020 01:00 - 03.10.2020 02:00","22942","22511"
"03.10.2020 02:00 - 03.10.2020 03:00","22025","21601"
"03.10.2020 03:00 - 03.10.2020 04:00","21511","21170"
"03.10.2020 04:00 - 03.10.2020 05:00","21200","20931"
"03.10.2020 05:00 - 03.10.2020 06:00","21020","20800"
"03.10.2020 06:00 - 03.10.2020 07:00","21405","21201"
"03.10.2020 07:00 - 03.10.2020 08:00","22382","22189"
"03.10.2020 08:00 - 03.10.2020 09:00","23128","23042"
"03.10.2020 09:00 - 03.10.2020 10:00","25037","24941"
"03.10.2020 10:00 - 03.10.2020 11:00","26458","26295"
"03.10.2020 11:00 - 03.10.2020 12:00","27023","26857"
"03.10.2020 12:00 - 03.10.2020 13:00","27362","26950"
"03.10.2020 13:00 - 03.10.2020 14:00","27570","27242"
"03.10.2020 14:00 - 03.10.2020 15:00","26793","26574"
"03.10.2020 15:00 - 03.10.2020 16:00","25394","24889"
"03.10.2020 16:00 - 03.10.2020 17:00","24499","23922"
"03.10.2020 17:00 - 03.10.2020 18:00","24067","23566"
"03.10.2020 18:00 - 03.10.2020 19:00","24149","23577"
"03.10.2020 19:00 - 03.10.2020 20:00","24634","24150"
"03.10.2020 20:00 - 03.10.2020 21:00","26883","26858"
"03.10.2020 21:00 - 03.10.2020 22:00","26999","27038"
"03.10.2020 22:00 - 03.10.2020 23:00","25138","25333"
"03.10.2020 23:00 - 04.10.2020 00:00","23473","23585"
"04.10.2020 00:00 - 04.10.2020 01:00","22340","22077"
"04.10.2020 01:00 - 04.10.2020 02:00","20933","20683"
"04.10.2020 02:00 - 04.10.2020 03:00","20006","19636"
"04.10.2020 03:00 - 04.10.2020 04:00","19466","19099"
"04.10.2020 04:00 - 04.10.2020 05:00","19209","18949"
"04.10.2020 05:00 - 04.10.2020 06:00","19162","18942"
"04.10.2020 06:00 - 04.10.2020 07:00","19489","19279"
"04.10.2020 07:00 - 04.10.2020 08:00","19982","19842"
"04.10.2020 08:00 - 04.10.2020 09:00","20168","20071"
"04.10.2020 09:00 - 04.10.2020 10:00","21718","21762"
"04.10.2020 10:00 - 04.10.2020 11:00","23155","23631"
"04.10.2020 11:00 - 04.10.2020 12:00","23967","24799"
"04.10.2020 12:00 - 04.10.2020 13:00","24414","25128"
"04.10.2020 13:00 - 04.10.2020 14:00","24812","25605"
"04.10.2020 14:00 - 04.10.2020 15:00","24530","25083"
"04.10.2020 15:00 - 04.10.2020 16:00","23158","23370"
"04.10.2020 16:00 - 04.10.2020 17:00","22323","22574"
"04.10.2020 17:00 - 04.10.2020 18:00","22016","22398"
"04.10.2020 18:00 - 04.10.2020 19:00","22327","22736"
"04.10.2020 19:00 - 04.10.2020 20:00","23015","23697"
"04.10.2020 20:00 - 04.10.2020 21:00","25763","26821"
"04.10.2020 21:00 - 04.10.2020 22:00","26433","27001"
"04.10.2020 22:00 - 04.10.2020 23:00","25088","25406"
"04.10.2020 23:00 - 05.10.2020 00:00","23497","23738"
"05.10.2020 00:00 - 05.10.2020 01:00","22112","22169"
"05.10.2020 01:00 - 05.10.2020 02:00","20990","21086"
"05.10.2020 02:00 - 05.10.2020 03:00","20229","20505"
"05.10.2020 03:00 - 05.10.2020 04:00","19864","20140"
"05.10.2020 04:00 - 05.10.2020 05:00","19891","20192"
"05.10.2020 05:00 - 05.10.2020 06:00","20589","20810"
"05.10.2020 06:00 - 05.10.2020 07:00","23115","23337"
"05.10.2020 07:00 - 05.10.2020 08:00","26673","26867"
"05.10.2020 08:00 - 05.10.2020 09:00","28243","28450"
"05.10.2020 09:00 - 05.10.2020 10:00","29266","29632"
"05.10.2020 10:00 - 05.10.2020 11:00","29970","30320"
"05.10.2020 11:00 - 05.10.2020 12:00","30571","30521"
"05.10.2020 12:00 - 05.10.2020 13:00","31000","30711"
"05.10.2020 13:00 - 05.10.2020 14:00","31106","30524"
"05.10.2020 14:00 - 05.10.2020 15:00","30162","29816"
"05.10.2020 15:00 - 05.10.2020 16:00","29117","28943"
"05.10.2020 16:00 - 05.10.2020 17:00","28655","28470"
"05.10.2020 17:00 - 05.10.2020 18:00","28548","28445"
"05.10.2020 18:00 - 05.10.2020 19:00","28452","28323"
"05.10.2020 19:00 - 05.10.2020 20:00","28942","29043"
"05.10.2020 20:00 - 05.10.2020 21:00","31662","31499"
"05.10.2020 21:00 - 05.10.2020 22:00","30950","31018"
"05.10.2020 22:00 - 05.10.2020 23:00","27760","27990"
"05.10.2020 23:00 - 06.10.2020 00:00","25388","25574"
"06.10.2020 00:00 - 06.10.2020 01:00","24118","24066"
"06.10.2020 01:00 - 06.10.2020 02:00","22932","22826"
"06.10.2020 02:00 - 06.10.2020 03:00","22166","21999"
"06.10.2020 03:00 - 06.10.2020 04:00","21862","21763"
"06.10.2020 04:00 - 06.10.2020 05:00","21834","21733"
"06.10.2020 05:00 - 06.10.2020 06:00","22312","22246"
"06.10.2020 06:00 - 06.10.2020 07:00","24518","24452"
"06.10.2020 07:00 - 06.10.2020 08:00","27826","27834"
"06.10.2020 08:00 - 06.10.2020 09:00","29097","29153"
"06.10.2020 09:00 - 06.10.2020 10:00","30063","30019"
"06.10.2020 10:00 - 06.10.2020 11:00","30705","30434"
"06.10.2020 11:00 - 06.10.2020 12:00","31220","30602"
"06.10.2020 12:00 - 06.10.2020 13:00","31584","31084"
"06.10.2020 13:00 - 06.10.2020 14:00","31580","30958"
"06.10.2020 14:00 - 06.10.2020 15:00","30513","30099"
"06.10.2020 15:00 - 06.10.2020 16:00","29545","29236"
"06.10.2020 16:00 - 06.10.2020 17:00","29176","29036"
"06.10.2020 17:00 - 06.10.2020 18:00","29097","28880"
"06.10.2020 18:00 - 06.10.2020 19:00","29008","28660"
"06.10.2020 19:00 - 06.10.2020 20:00","29509","29348"
"06.10.2020 20:00 - 06.10.2020 21:00","32049","31823"
"06.10.2020 21:00 - 06.10.2020 22:00","31212","31203"
"06.10.2020 22:00 - 06.10.2020 23:00","28199","28116"
"06.10.2020 23:00 - 07.10.2020 00:00","25893","25737"
"07.10.2020 00:00 - 07.10.2020 01:00","24498","24443"
"07.10.2020 01:00 - 07.10.2020 02:00","23260","23188"
"07.10.2020 02:00 - 07.10.2020 03:00","22409","22413"
"07.10.2020 03:00 - 07.10.2020 04:00","22032","22087"
"07.10.2020 04:00 - 07.10.2020 05:00","21991","22103"
"07.10.2020 05:00 - 07.10.2020 06:00","22432","22552"
"07.10.2020 06:00 - 07.10.2020 07:00","24519","24654"
"07.10.2020 07:00 - 07.10.2020 08:00","27725","28009"
"07.10.2020 08:00 - 07.10.2020 09:00","28964","29187"
"07.10.2020 09:00 - 07.10.2020 10:00","29934","30018"
"07.10.2020 10:00 - 07.10.2020 11:00","30526","30518"
"07.10.2020 11:00 - 07.10.2020 12:00","30915","30912"
"07.10.2020 12:00 - 07.10.2020 13:00","31353","31211"
"07.10.2020 13:00 - 07.10.2020 14:00","31399","31395"
"07.10.2020 14:00 - 07.10.2020 15:00","30499","30611"
"07.10.2020 15:00 - 07.10.2020 16:00","29646","29703"
"07.10.2020 16:00 - 07.10.2020 17:00","29367","29316"
"07.10.2020 17:00 - 07.10.2020 18:00","29317","29265"
"07.10.2020 18:00 - 07.10.2020 19:00","29206","28928"
"07.10.2020 19:00 - 07.10.2020 20:00","29698","29477"
"07.10.2020 20:00 - 07.10.2020 21:00","32217","31858"
"07.10.2020 21:00 - 07.10.2020 22:00","31247","31225"
"07.10.2020 22:00 - 07.10.2020 23:00","28193","28209"
"07.10.2020 23:00 - 08.10.2020 00:00","25861","25861"
"08.10.2020 00:00 - 08.10.2020 01:00","24531","24539"
"08.10.2020 01:00 - 08.10.2020 02:00","23280","23410"
"08.10.2020 02:00 - 08.10.2020 03:00","22487","22688"
"08.10.2020 03:00 - 08.10.2020 04:00","22174","22461"
"08.10.2020 04:00 - 08.10.2020 05:00","22129","22358"
"08.10.2020 05:00 - 08.10.2020 06:00","22578","22755"
"08.10.2020 06:00 - 08.10.2020 07:00","24730","24782"
"08.10.2020 07:00 - 08.10.2020 08:00","28076","27947"
"08.10.2020 08:00 - 08.10.2020 09:00","29290","29271"
"08.10.2020 09:00 - 08.10.2020 10:00","30147","30126"
"08.10.2020 10:00 - 08.10.2020 11:00","30613","30625"
"08.10.2020 11:00 - 08.10.2020 12:00","31042","30870"
"08.10.2020 12:00 - 08.10.2020 13:00","31469","31370"
"08.10.2020 13:00 - 08.10.2020 14:00","31454","31554"
"08.10.2020 14:00 - 08.10.2020 15:00","30567","30717"
"08.10.2020 15:00 - 08.10.2020 16:00","29665","29832"
"08.10.2020 16:00 - 08.10.2020 17:00","29350","29552"
"08.10.2020 17:00 - 08.10.2020 18:00","29250","29539"
"08.10.2020 18:00 - 08.10.2020 19:00","29105","29168"
"08.10.2020 19:00 - 08.10.2020 20:00","29555","29790"
"08.10.2020 20:00 - 08.10.2020 21:00","32004","31912"
"08.10.2020 21:00 - 08.10.2020 22:00","31107","31111"
"08.10.2020 22:00 - 08.10.2020 23:00","28068","28041"
"08.10.2020 23:00 - 09.10.2020 00:00","25823","25857"
"09.10.2020 00:00 - 09.10.2020 01:00","24534","24533"
"09.10.2020 01:00 - 09.10.2020 02:00","23324","23303"
"09.10.2020 02:00 - 09.10.2020 03:00","22534","22511"
"09.10.2020 03:00 - 09.10.2020 04:00","22182","22216"
"09.10.2020 04:00 - 09.10.2020 05:00","22121","21995"
"09.10.2020 05:00 - 09.10.2020 06:00","22489","22380"
"09.10.2020 06:00 - 09.10.2020 07:00","24360","24156"
"09.10.2020 07:00 - 09.10.2020 08:00","27269","26974"
"09.10.2020 08:00 - 09.10.2020 09:00","28373","28300"
"09.10.2020 09:00 - 09.10.2020 10:00","29377","29265"
"09.10.2020 10:00 - 09.10.2020 11:00","29982","29767"
"09.10.2020 11:00 - 09.10.2020 12:00","30423","30315"
"09.10.2020 12:00 - 09.10.2020 13:00","30855","30612"
"09.10.2020 13:00 - 09.10.2020 14:00","30917","30646"
"09.10.2020 14:00 - 09.10.2020 15:00","30022","29682"
"09.10.2020 15:00 - 09.10.2020 16:00","28892","28668"
"09.10.2020 16:00 - 09.10.2020 17:00","28417","28171"
"09.10.2020 17:00 - 09.10.2020 18:00","28239","28025"
"09.10.2020 18:00 - 09.10.2020 19:00","28116","27693"
"09.10.2020 19:00 - 09.10.2020 20:00","28587","28399"
"09.10.2020 20:00 - 09.10.2020 21:00","30689","30138"
"09.10.2020 21:00 - 09.10.2020 22:00","29976","29406"
"09.10.2020 22:00 - 09.10.2020 23:00","27158","26891"
"09.10.2020 23:00 - 10.10.2020 00:00","25083","24969"
"10.10.2020 00:00 - 10.10.2020 01:00","23909","23938"
"10.10.2020 01:00 - 10.10.2020 02:00","22687","22674"
"10.10.2020 02:00 - 10.10.2020 03:00","21756","21580"
"10.10.2020 03:00 - 10.10.2020 04:00","21284","21037"
"10.10.2020 04:00 - 10.10.2020 05:00","21008","20666"
"10.10.2020 05:00 - 10.10.2020 06:00","20834","20646"
"10.10.2020 06:00 - 10.10.2020 07:00","21271","21163"
"10.10.2020 07:00 - 10.10.2020 08:00","22294","22207"
"10.10.2020 08:00 - 10.10.2020 09:00","23225","23027"
"10.10.2020 09:00 - 10.10.2020 10:00","25039","24891"
"10.10.2020 10:00 - 10.10.2020 11:00","26320","26326"
"10.10.2020 11:00 - 10.10.2020 12:00","26796","26749"
